,Topic,Count,Name,Representation,Representative_Docs
12,11,95,11_書い_書く_様子 書い_心無い,"['書い', '書く', '様子 書い', '心無い', '記事 心無い', '書き', '書い 様子', '書い 様子 書い', '様子 書い 様子 書い', '様子 書い 様子']","['療育 様子 書い 様子 書い いき 様子 書い 範囲 書い いき 範囲 書い', '療育 様子 書い 様子 書い 様子 書い いき 範囲 書い 学習 療育 様子', '療育 様子 書い 様子 書い 様子 書い いき 範囲 書い 範囲 書い いき']"
13,12,95,12_不妊 治療_治療_不妊_治療 不妊,"['不妊 治療', '治療', '不妊', '治療 不妊', '治療 不妊 治療', '不妊 治療 不妊', '不妊 治療 不妊 治療', '治療 治療', '不妊 治療 治療', '治療 始め']","['ない 不妊 治療 治療 協力 不妊 不妊 治療 不妊 治療 辛 不妊 治療 協力', '泣き 不妊 治療 不妊 治療 不妊 治療 薬 不妊 治療 離婚 いただき 不妊 治療', '治療 不妊 治療 不妊 治療 不妊 息子 不妊 治療 妊活 不妊 治療 不妊 治療 いる']"
14,13,94,13_長女_年長_男子 年長_年長 女子,"['長女', '年長', '男子 年長', '年長 女子', '女子', '長女 長女', '年中 長女', '普通 長女', '年齢', '次女']","['子育て 申し 長女 長女 次女 子育て 次女 年中 長女 年中 長女 次女 年中 長女', '年長 女子 男子 年長 得 男子 年長 男子 年長 女子 去年', '年長 女子 男子 年長 男子 年長 女子 年長 女子 子育て 女子 子育て ワーママ']"
15,14,93,14_女の子_女の子 女の子_男の子 女の子_女の子 男の子,"['女の子', '女の子 女の子', '男の子 女の子', '女の子 男の子', '女子', '産み分け', '男の子', '女の子 産み分け', '女の子 男の子 女の子', '女の子 いい']","['入れ 女の子 女の子 女の子 女の子 女の子 女の子 服 女子 服 女の子 女の子 男の子', '女の子 産み分け 男の子 思う 男の子 女の子 男の子 女の子 服 男の子 女の子 女の子 産む 思っ', '女の子 男の子 女の子 男の子 女の子 女の子 男の子 女の子 喜ん 生まれる いる 女の子 男の子']"
16,15,85,15_保険_治療 保険_保険 適用_適用,"['保険', '治療 保険', '保険 適用', '適用', '保険 保険', '保険 治療', '保険 治療 保険', '治療 保険 治療', '治療 保険 適用', '治療 保険 治療 保険']","['治療 保険 治療 保険 適応 不妊 治療 保険 保険 加入 保険', '治療 健康 保険 適用 治療 保険 治療 保険 保険 適用 治療 治療 保険 適用', '治療 保険 適用 さ 治療 保険 治療 保険 保険 診療 なる ほとんど 将来 保険']"
17,16,82,16_高温_高温 高温_今日 高温_高温 今日,"['高温', '高温 高温', '今日 高温', '高温 今日', '高温 今日 高温', '本日 高温', '今日', '今日 高温 今日', '体温', '高温 昨日']","['昨日 高温 今日 高温 高温 期 今日 昨日 高温 期 今日 高温 期', '今日 高温 症状 今日 高温 今日 高温 期 する 今日 高温 高温 期 高温', '高温 期 今日 今日 高温 今日 高温 期 なる 今日 高温 高温']"
18,17,80,17_今朝_早朝_夜中_毎朝,"['今朝', '早朝', '夜中', '毎朝', '夕方', 'ブチ切れ', '止む', '起き', '立ち寄っ', '束の間 今朝']","['今朝 しっかり 確認 ずっと 陰性 今朝 確認 今朝 しっかり 今朝 しっかり もし 今日 排卵', '安心 束の間 今朝 束の間 今朝 束の間 今朝 測る なっ 安心 束の間 で 今朝 基礎', '早朝 しばらく 安静 早朝 ずっと 検索 作用 早朝 ずっと 早朝 ずっと 早朝 しばらく']"
19,18,79,18_後ろ_ぐるぐる_行く_出かける,"['後ろ', 'ぐるぐる', '行く', '出かける', '斜め後ろ', '行っ', '下さっ', '行か', '後ろ 長女', '真後ろ']","['進め 後ろ 進め 後ろ 進ん 後ろ まだ 進め 後ろ 後ろ 進ん', '後ろ 長女 痩せ 後ろ 長女 参観 後ろ 長女 金曜 参観 後ろ 痩せ 思っ 斜め後ろ', '振り返っ 後ろ 振り返っ 後ろ 旦那 後ろ 振り返っ 後ろ なく 後ろ 振り返っ 後ろ 振り返っ']"
20,19,72,19_精神_気持ち_落ち着か_張り,"['精神', '気持ち', '落ち着か', '張り', '心理', '張り込ん', '心細く', '気持ち なる', '精神 精神', '辛い']","['隔離 心細く 辛い 心細く 辛い 心細く 辛い 経験 経験 隔離 心細く 隔離 心細く', '臨床 心理 精神 心理 精神 精神 臨床 心理 精神 心理 精神 夫婦', '心理 意味 精神 いか 気持ち 昇華 昇華 怒り 心理 意味 精神 動画 意味 精神']"
21,20,71,20_明日_昨日_今日_また 明日,"['明日', '昨日', '今日', 'また 明日', '明後日', '昨日 今日', '予定 昨日', 'ルナ', '光景', '今日 保育']","['また 明日 朝 思い また 明日 ない また 明日 また 明日 明日 朝', '言っ 明日 来る 遅く 言っ 明日 明日 来る 思う 言っ 明日 明日 来る', '明日 タイミング とっ 昨日 タイミング とっ 帰れ 明日 タイミング 明日 タイミング き 明日 明後日']"
22,21,71,21_週間_週間 週間_レルミナ_判定 週間,"['週間', '週間 週間', 'レルミナ', '判定 週間', '平日 半分', 'ダニ', '石垣 週間', '進める レルミナ', '上限', '週間 保育']","['陰性 判定 週間 判定 週間 週間 少し 集中 判定 週間 少し ゆったり 過ごし 期間', '言う 進める レルミナ 願っ 週間 レルミナ 週間 レルミナ 周期 更新 出来 隙間 進める レルミナ 服用', '進める レルミナ 服用 言う 進める レルミナ 願っ 週間 レルミナ 週間 レルミナ 周期 進める レルミナ']"
23,22,67,22_幸せ_幸せ 幸せ_人生_生き,"['幸せ', '幸せ 幸せ', '人生', '生き', '幸福', '幸い', '不幸', '楽しい', 'ない 幸せ', '人生 人生']","['幸せ ない 幸せ 幸せ なり 幸せ どう 幸せ なり 幸せ 人生 どう 幸せ', '幸せ 幸せ 幸せ 気分 ニヤニヤ 幸せ 気分 両親 幸せ 幸せ いい 生き 幸せ', '幸せ 幸せ 崩れ 幸せ 幸せ 忘れ 幸せ 幸せ 授かっ 幸せ 幸せ 幸せ 幸せ 一瞬']"
24,23,66,23_金曜_火曜_部門_木曜,"['金曜', '火曜', '部門', '木曜', '月曜', '水曜', '培養 部門', '土曜', '毎週', '部門 部門']","['部門 毎週 金曜 本日 培養 部門 培養 部門 部門 把握 培養 部門 部門 部門 毎週', '部門 毎週 金曜 培養 部門 部門 部門 部門 毎週 培養 部門 部門 毎週', '部門 毎週 金曜 培養 部門 部門 培養 部門 培養 培養 部門 部門 部門 毎週']"
25,24,65,24_不安_心配_不安 不安_心配 心配,"['不安', '心配', '不安 不安', '心配 心配', '緊張', '不安 不安 不安', '心配 ない', '取り除き', '安心', 'やっぱり 緊張']","['不安 かなり 長女 長男 不安 不安 不安 かなり 強い 長男 不安', '不安 出 き 不安 不安 出 わから 不安 不安 なら', '不安 不安 泣き 不安 不安 不安 広がる 不安 泣き なる 不安 泣き']"
26,25,59,25_長男_長男 長男_次男_長男 主人,"['長男', '長男 長男', '次男', '長男 主人', 'ギャーギャー', '主人', '主人 長男', '長男 次男', '会員', 'ギャーギャー ギャーギャー']","['主人 長男 いい なり 主人 長男 主人 長男 しろ 登校 長男 長男 今日 ゲーム', 'いる 長男 主人 長男 主人 モヤモヤ 気持ち 長男 長男 主人 喧嘩 気持ち 長男', '長男 次男 長男 長男 重く 長男 長女 長男 あたらしい 長男']"
27,26,59,26_痛み_痛み止め_下痢_間隔,"['痛み', '痛み止め', '下痢', '間隔', '腹部', '間隔 痛み', '痛み つい', '昨日 痛み止め', '苦戦', '肛門']","['痛み 間隔 痛み ほんと 間隔 半 痛み 間隔 痛み 間隔 ある 痛み 陣痛 心', '痛み止め すぐ 痛み止め 術後 すぐ 痛み止め 痛み止め 飲ん 痛み 痛み止め 服用 痛み', '痛み 下痢 少し 下痢 心当たり ちなみ 下痢 心当たり 下痢 なっ 痛み 痛み 下痢']"
28,27,58,27_先生_先生 先生_院長_園長 先生,"['先生', '先生 先生', '院長', '園長 先生', 'バレエ', '主治', 'いっ 先生', '先生 言っ', '理事', 'そして 先生']","['次女 成長 喜ん 次女 先生 言う 言う 先生 先生 先生 言う 先生 言う 先生', '先生 言っ ダメ いけ 先生 ただ 初めて 違う 先生 違う 先生 先生 先生 ただ まぁ', '番外 編 先生 待っ 園長 先生 園長 先生 先生 先生 すごい 友人 先生 母 園長']"
29,28,56,28_採卵_採卵 正常_正常_凍結,"['採卵', '採卵 正常', '正常', '凍結', '卵子', '凍結 採卵 正常', '凍結 採卵', '採卵 正常 凍結', '採卵 正常 凍結 採卵', '採卵 正常 凍結 採卵 正常']","['転院 採卵 正常 凍結 採卵 正常 採卵 正常 凍結 採卵 正常 受精 採卵 正常 胚盤', '転院 採卵 正常 凍結 採卵 正常 採卵 正常 凍結 採卵 正常 受精 採卵 正常 胚盤', '転院 採卵 正常 凍結 採卵 正常 採卵 正常 凍結 採卵 正常 受精 採卵 正常 胚盤']"
30,29,53,29_治療_治療 治療_タイム 治療_療法,"['治療', '治療 治療', 'タイム 治療', '療法', '鍼灸', '治療 計画', '治療 始め', '諦める', '計画', '治療 速報']","['治療 諦める いう 治療 諦める 治療 矢面 リアル タイム 治療 診察 治療 矢面', 'タイム 治療 速報 リアル タイム 治療 返事 もう 待ち タイム 治療 治療 速報', 'リアル タイム 治療 タイム 治療 速報 タイム 治療 治療 開始 インスタ 治療 開始']"
31,30,53,30_風呂_シャワー_風呂上がり_風呂 入る,"['風呂', 'シャワー', '風呂上がり', '風呂 入る', '風呂 風呂', '子供 風呂', '風呂 子供', 'シャワー シャワー', '風呂上がり 風呂上がり', '部屋']","['半 子供 風呂 子供 風呂 入っ 子供 風呂 子供 過ごし 風呂 眠れ 朝方 ちょこちょこ', '半 子供 風呂 子供 風呂 入っ 子供 風呂 風呂 入っ 出産 子供 過ごし 風呂', '子供 風呂 入っ 半 子供 風呂 子供 風呂 子供 過ごし 風呂 風呂 入っ']"
32,31,50,31_風邪_風邪 ひい_ひい_夏風邪,"['風邪', '風邪 ひい', 'ひい', '夏風邪', '風邪 風邪', '発熱', 'ひい 風邪', '風邪 ひい 風邪', '風邪 風邪 ひい', '鼻風邪']","['上がっ おり 風邪 鼻水 咳 風邪 昨日 風邪 ひい 風邪 ひい 投稿 風邪 ひい', '風邪 ひい ずっと 夫 風邪 ひい ずっと 咳 風邪 夫 風邪 咳 風邪 ひい', '風邪 ひい ずっと 咳 風邪 ひい 夫 風邪 ひい ずっと 咳 風邪 風邪 ひい']"
33,32,49,32_金額_返金_現金_募金,"['金額', '返金', '現金', '募金', '金持ち', '返金 保証', '金金', '大金', '代金', '金のこ']","['金額 高額 すぎる 検査 金額 高額 金額 高額 ない 金額 税込 間違い ない 金額', '保育 マ 止め 返金 保証 送料 全額 返金 保証 返金 保証 保存 添加', '返金 保証 付い 返金 保証 送料 全額 返金 保証 限定 返金 保証 保証 付い くる']"
34,33,47,33_保育_保育 子ども_子ども 保育_保育 子ども 保育,"['保育', '保育 子ども', '子ども 保育', '保育 子ども 保育', '保育 保育', '子ども', '保育 預ける', '子ども 保育 子ども', '預ける', '保育 子ども 保育 子ども']","['加配 保育 子ども 保育 子ども 保育 子ども 対し ない 加配 保育 加配 保育', '件 保育 子ども 保育 子ども 保育 子ども 肘 保育 いで 引っ張っ いけ 件 保育', '子ども 保育 園児 商品 子ども 保育 子ども 保育 対 子ども 施設 保育 保育 子ども 保育']"
35,34,46,34_秋物_秋服_花柄_チューリップ,"['秋物', '秋服', '花柄', 'チューリップ', '花粉', '真似', '風車', 'ペンギン', '紫陽花', '着れる']","['着る 楽しみ 秋服 秋服 準備 進め 楽しみ 秋服 準備 楽しみ 秋服 秋服 準備', '着れる 秋物 中心 暑く 着れる 秋物 保育 被ら ボトム 着れる 秋物 被ら ボトム 着れる', '花柄 レース めくれ ウエスト 花柄 レース 花柄 レース パンティー ウエスト 花柄 ウエスト 花柄']"
36,35,46,35_帰省_我が家_実家_帰省 帰省,"['帰省', '我が家', '実家', '帰省 帰省', '我が家 我が家', '実家 帰省', '帰省 実家', 'どうぞ 我が家', '厳し', 'もともと 我が家']","['帰省 き 実家 実家 帰省 き 実家 帰省 泊 実家 帰省 部分 木製', '帰省 泊 帰省 先日 実家 帰省 帰省 き 実家 実家 帰省 泊 実家 帰省', '実家 帰省 来 翼 実家 帰省 実家 帰省 帰省 出来 久し 帰省 さ いただい']"
37,36,46,36_コメント_コメント 嬉しい_コメント コメント_コメント 関し,"['コメント', 'コメント 嬉しい', 'コメント コメント', 'コメント 関し', 'コメント 関し コメント', '関し コメント', '嬉しい コメント', 'コメント 嬉しい コメント', 'コメント ください', '嬉しい 有り難く']","['コメント 嬉しい 有り難く コメント 関し コメント コメント 嬉しい コメント ください なく コメント ください', 'コメント 嬉しい コメント 嬉しい 有り難く コメント 関し コメント コメント ください コメント 関し', 'コメント 嬉しい 有り難く コメント 関し コメント コメント 嬉しい コメント ください コメント']"
38,37,44,37_成長_発達 ゆっくり_今月 発達_発達,"['成長', '発達 ゆっくり', '今月 発達', '発達', 'ゆっくり', '曲線', 'ゆっくり 偏食', '成長 成長', '成長 曲線', '偏食']","['始め 安定 か月 発達 ゆっくり 偏食 生まれ 今月 発達 始め か月 今月 発達', '発達 ゆっくり 偏食 生まれ 今月 発達 今月 発達 ゆっくり 生まれ 発達 ゆっくり 今月 発達', '今月 発達 今月 発達 ゆっくり 始め 安定 か月 発達 ゆっくり 偏食 生まれ 今月 発達']"
39,38,44,38_宿題_夏休み 宿題_宿題 宿題_夏休み,"['宿題', '夏休み 宿題', '宿題 宿題', '夏休み', '宿題 夏休み', '宿題 夏休み 宿題', '宿題 どう', '夏休み 宿題 夏休み', '宿題 やる', '夏休み 宿題 夏休み 宿題']","['宿題 無い 夏休み 夏休み 宿題 無い 申し 夏休み 宿題 笑 夏休み 宿題 夏休み 宿題', '更新 夏休み 宿題 夏休み 宿題 出 夏休み 宿題 続き 夏休み 宿題 コメ 夏休み 宿題', '宿題 宿題 宿題 宿題 やる ハナシ 宿題 宿題 宿題 ムスメ 夏休み 宿題']"
40,39,44,39_花火_花火 大会_花火 花火_大会,"['花火', '花火 大会', '花火 花火', '大会', '山頭火', '大会 花火', '花火 大会 花火', '花火 花火 大会', '花火 花火 花火', '関宿']","['花火 大会 花火 大会 行く 花火 花火 大会 逗子 花火 ぎっくり', '花火 花火 大会 花火 大会 行く 花火 大会 逗子 いか 花火 大会', '江戸 川 花火 川 花火 川 花火 大会 花火 大会 花火']"
41,40,43,40_言葉_行為_反省_褒める,"['言葉', '行為', '反省', '褒める', '言葉 言葉', 'つい 言っ', '安藤', 'ぬお', '責め', '決め事']","['言葉 あり 言葉 言葉 言い訳 言葉 ふう 言葉 言葉 言葉 注意 どうせ', '受け止め 言葉 飲み込ん 言葉 飲み込ん カト 受け止め 言葉 言葉 飲み込ん 笑顔 受け止め 言葉', '褒める 準備 でき ちょいと 空い しまい ちょいと ちょいと 空い 思い 手放し 褒める 手放し 褒める 準備']"
42,41,43,41_貯金_失う_貯金 失う_資金,"['貯金', '失う', '貯金 失う', '資金', '失う 精神', '住民', '貯金 失う 精神', '被害 貯金', '税金', '老後']","['貯金 失う 精神 詐欺 被害 貯金 被害 貯金 貯金 被害 貯金 失う', '貯金 失う 精神 被害 貯金 被害 貯金 失う 詐欺 被害 貯金 貯金 失う', '貯金 失う 精神 被害 貯金 失う 精神 どん底 育児 失う 精神 どん底 貯金 失う']"
43,42,43,42_ケーキ_菓子_クッキー_フルーツ,"['ケーキ', '菓子', 'クッキー', 'フルーツ', 'ココナッツ', '作り', '菓子 作り', 'いい 菓子', '食べ比べ', 'チョコレート']","['行っ 今日 袋入 ケーキ 袋入 ダメ ケーキ 袋入 ケーキ 袋入 ケーキ ダメ ケーキ', 'なく いい 菓子 いい 菓子 いい いい 菓子 いい 菓子 いい 菓子 いい', 'クッキー 作り 割と 最初 クッキー 作り クッキー 作り デー クッキー 作り クッキー 作り いとこ']"
44,43,43,43_学校_公立_元気 通学_学校 元気,"['学校', '公立', '元気 通学', '学校 元気', '公立 学校', '通学', '私立', '志望', '子ども 学校', '学生']","['国立 学校 公立 公立 学校 近い 徒歩 公立 学校 学校 公立 公立 学校 私立', '元気 通学 本日 支援 学校 元気 元気 通学 アラジン 学校 学年 学校 元気 通学', '元気 通学 本日 支援 学校 元気 元気 通学 学校 元気 通学 日記 支援 学校']"
45,44,42,44_歌っ_作曲_歌詞_歌う,"['歌っ', '作曲', '歌詞', '歌う', '楽曲', '歌手', '語尾', 'コロンブス', '選曲', '新曲']","['歌っ まさか ちがう 歌っ ぱん ちゅー 歌っ ぱん ちゅー 続い 歌っ 続い 歌っ まさか', '歌う 歌う 歌う 歌う 歌う 言っ 出し いかに 歌っ 歌う 言っ 語尾', '語尾 真似 歌う 歌詞 語尾 真似 真似 歌う 最近 歌詞 語尾 真似 歌う なっ']"
46,45,42,45_心拍_心拍 確認_確認_心音,"['心拍', '心拍 確認', '確認', '心音', '確認 心拍', '確認 心拍 確認', '心音 確認 心拍 確認', '心音 確認 心拍', '確認 心拍 確認 胎芽', '心音 確認']","['心拍 確認 胎芽 心音 心拍 心音 確認 心拍 確認', '心拍 確認 胎芽 心音 心拍 心音 確認 心拍 確認', '心拍 確認 胎芽 心音 心拍 心音 確認 心拍 確認']"
47,46,41,46_子ども_子供_子ども 子ども_子ども とっ,"['子ども', '子供', '子ども 子ども', '子ども とっ', 'ない 子ども', '子ども 思う', '生まれ 子ども', '欲しい 子ども', '子供 でき', '目の当たり']","['子ども 授かる いう 子ども 欲しい 気持ち 子ども 欲しい 子ども 授かる ない 子ども 授かる', '欲しい 子ども 本心 続き 欲しい 子ども 子ども 本心 欲しい 子ども 子ども 本心 ある', '子ども とっ 現実 子ども ずっと 子ども 成長 亡くなっ 経ち 子ども 生まれ 子ども とっ']"
48,47,40,47_海水_海水 海水_水族_東海,"['海水', '海水 海水', '水族', '東海', '水面', '海水 今日', '海水 行っ', 'あり 海水', 'しろ 風潮', '水槽 大きい']","['海水 もう 少し 海水 海水 思っ 海水 伺っ 無い 海水', 'き つい 海水 つい 海水 つい 海水 流れ込む 海水 海水 流れ込む 川', 'あり 海水 海水 あり 海水 姿 越え あり 海水 海水 姿 珍しく']"
49,48,39,48_寝る_睡眠_眠れ_ナイトキャップ,"['寝る', '睡眠', '眠れ', 'ナイトキャップ', '仮眠', '眠り', '昼間', '疲れ', '寝れ', '寝かしつけ']","['タイム 更新 寝る 更新 寝る 眠り 寝る 映画 タイム たて ガリガリ 型抜き ガリガリ 型抜き 食べ', '細切れ 睡眠 つかれ つくろう 疲れ 毛糸 疲れ 毛糸 とり 毛糸 つくろう 疲れ 睡眠 つかれ 睡眠', '寝る ほぼ 毎回 寝る 悪夢 見る 寝る ほぼ 言わ 寝る 悪夢 思う 寝る 悪夢']"
50,49,39,49_友人_番外_友達_立ち合い,"['友人', '番外', '友達', '立ち合い', '立ち会う', '美味しい 友人', '友人 子供', '時代 友人', '番外 番外', 'キャッキャ']","['元気 友人 子供 友人 とも子 大学 時代 友人 友人 子供 聞い さっぱり 友人 子供', '友人 過去 番外 改めて 話す 番外 番外 番外 編 改めて 番外 編 話し', '改めて 話す 番外 友人 過去 番外 番外 編 話し 番外 話す 番外']"
51,50,37,50_保育_保育 保育_保育 面談_面談,"['保育', '保育 保育', '保育 面談', '面談', '保育 保育 保育', '慣らし 保育', '慣らし', '保育 保育 保育 保育', '面談 保育', '保護']","['保育 面談 記録 面倒 夫 保育 備忘 保育 面談 夫 保育 決定 保育 決定 健康', '保育 保育 保育 出かけ 広場 保育 保育 保育 事情 広場 保育 保育 保育 保育', '保育 面談 記録 息子 慣らし 保育 備忘 保育 面談 面倒 夫 保育 保育 面談']"
52,51,36,51_出血_病院_出血 出血_バレバレ,"['出血', '病院', '出血 出血', 'バレバレ', '出血 もらっ', '安産', '健診', '妊婦 健診', '出産', 'やっぱり 出血']","['切り 幸い 出血 思い出し あり 病院 思い出し あり 通り 若干 出血 出血 出血 いっ', '出血 意思 止め 打っ もらっ 出血 初め がっつり 出血 もらっ 出血 もらっ 出血 復活', '安心 初 出血 飲み 始め 出血 出血 もらっ 始め 出血 出血 もらっ 薬']"
53,52,36,52_毎月_か月_今月_来月,"['毎月', 'か月', '今月', '来月', '月末', '前月', '先月', '前月 記録', '記録 前月', 'もう か月']","['欲しかっ アイテム 毎月 アイテム 毎月 得 アイテム 毎月 毎月 得 ゲット 在籍 日常 学習', '思い 前月 前月 記録 前月 記録 前月 記録 前月 記録', '前月 記録 すっかり 来月 記録 前月 記録 前月 記録 前月 記録']"
54,53,35,53_中高_中学 受験_受験_入学,"['中高', '中学 受験', '受験', '入学', '受験 中高', '中学 受験 中高', '中高 一貫 入学', '一貫 入学', '一貫', '中高 一貫']","['中学 受験 中高 中学 受験 入学 挽回 専門 受験 中高 中高 一貫 入学', '中学 受験 中高 中高 一貫 入学 中学 受験 入学 挽回 専門 学校 特に 立命', '中学 受験 中高 中高 一貫 入学 中学 受験 入学 挽回 専門 なし 中学 受験']"
55,54,33,54_息子 育て_息子_育て_息子 息子 育て,"['息子 育て', '息子', '育て', '息子 息子 育て', '息子 育て 息子', '育て 息子', '息子 息子', 'まとめ 息子', '育て 息子 育て', 'まとめ 息子 息子 育て']","['まとめ 娘 息子 娘 息子 育て 息子 育て 息子 育て いる 娘 息子', 'まとめ 娘 息子 娘 息子 育て 息子 育て 娘 息子 息子 育て いる', 'まとめ 娘 息子 娘 息子 育て 息子 育て 娘 息子 息子 育て いる']"
56,55,33,55_入園 年中_年中_年中 最近_入園,"['入園 年中', '年中', '年中 最近', '入園', '多かっ 学年', '学年', '入園 年中 最近', '多かっ', '保育 多かっ', '最近']","['保育 多かっ 学年 預かり 保育 多かっ 入園 年中 最近 多かっ 学年 多かっ 学年 ござい', '保育 多かっ 学年 預かり 保育 多かっ 入園 年中 最近 多かっ 学年 多かっ 学年 ござい', '保育 多かっ 学年 預かり 保育 多かっ 入園 年中 最近 多かっ 学年 多かっ 学年 ござい']"
